"Source:","C:\Users\SERGIO\Documents\DiseñoPot\Esquem-tico_UNCargador-\Esquemático_UNCargador\CircuitoPotencia.kicad_sch"
"Date:","23/03/2023 11:23:49 a. m."
"Tool:","Eeschema (6.0.7)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","25"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C4, C5, ","3","22uF","C_Polarized_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Polarized capacitor, US symbol",""
"C2, C3, ","2","10uF","C_Polarized_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Polarized capacitor, US symbol",""
"CIn0, ","1","22uF","C_Polarized_US","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Polarized capacitor, US symbol",""
"Cin1, ","1","680u","C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","Unpolarized capacitor",""
"CIn2, ","1","680u","C","Capacitor_SMD:C_0201_0603Metric","Unpolarized capacitor",""
"COut1, COut2, ","2","220u","C","Capacitor_SMD:C_0201_0603Metric","Unpolarized capacitor",""
"D1, D2, ","2","1N5822","1N5822","Diode_THT:D_DO-201AD_P15.24mm_Horizontal","40V 3A Schottky Barrier Rectifier Diode, DO-201AD",""
"D3, ","1","1N4007","1N4007","Diode_SMD:D_SMA_Handsoldering","1000V 1A General Purpose Rectifier Diode, DO-41",""
"D4, ","1","Led_ON","IR26-21C_L110_TR8","LED_SMD:LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder","940nm, 20 deg, Infrared LED, 1206",""
"DIn1, ","1","1N4007","1N4007","Diode_SMD:D_SMA_Handsoldering","1000V 1A General Purpose Rectifier Diode, DO-41",""
"JP1, JP2, ","2","Jumper_3_Open","Jumper_3_Open","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","Jumper, 3-pole, both open",""
"L1, L2, ","2","33u","L","Inductor_SMD:L_Coilcraft_XxL4040","Inductor",""
"PS7, ","1","HLK-PM01","HLK-PM01","Convertidor_AC-DC:AC-DC_Converter","Compact AC/DC board mount power module 3W 5V",""
"R1, ","1","68","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"U1, ","1","AMS1117-5.0","AMS1117-5.0","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1A Low Dropout regulator, positive, 5.0V fixed output, SOT-223",""
"U2, ","1","AMS1117-3.3","AMS1117-3.3","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1A Low Dropout regulator, positive, 3.3V fixed output, SOT-223",""
"U3.3, ","1","LM2596S-3.3","LM2596S-3.3","Package_TO_SOT_SMD:TO-263-5_TabPin3","3.3V 3A Step-Down Voltage Regulator, TO-263",""
"U5, ","1","LM2596S-5","LM2596S-5","Package_TO_SOT_SMD:TO-263-5_TabPin3","5V 3A Step-Down Voltage Regulator, TO-263",""
